epoch,M1_train_loss,M1_val_loss,M1_train_accuracy,M1_val_accuracy,M2_train_loss,M2_val_loss,M2_train_accuracy,M2_val_accuracy,M3_train_loss,M3_val_loss,M3_train_accuracy,M3_val_accuracy,M4_train_loss,M4_val_loss,M4_train_accuracy,M4_val_accuracy
1,3.714323091506958,8.217482680803794,0.1767857142857143,0.24166666666666667,1.7121747629983084,4.989389507763125,0.21071428571428572,0.24166666666666667,1.6298640523638044,4.746604269238351,0.20357142857142857,0.24166666666666667,1.6601930277688162,4.833176062230404,0.22678571428571428,0.21666666666666667
2,1.698578429222107,4.6754033210222286,0.24821428571428572,0.21666666666666667,1.6310085705348423,4.749831478934149,0.22321428571428573,0.24166666666666667,1.6133417640413557,4.661117430185706,0.20357142857142857,0.16666666666666666,1.6249654599598475,4.658033803974207,0.19642857142857142,0.16666666666666666
3,1.5199616295950753,4.139541313081037,0.35714285714285715,0.24166666666666667,1.6187150580542429,4.698785618366821,0.23392857142857143,0.24166666666666667,1.6103169339043752,4.664223053218636,0.21964285714285714,0.16666666666666666,1.623690036364964,4.705179171605447,0.22142857142857142,0.21666666666666667
4,1.3804071971348353,3.8437163132491508,0.43392857142857144,0.20833333333333334,1.5778003317969187,4.452415345440515,0.25535714285714284,0.16666666666666666,1.6088413034166609,4.661807496315262,0.21964285714285714,0.21666666666666667,1.6252312081200735,4.71298870433306,0.19285714285714287,0.21666666666666667
5,1.2439657517841884,3.4865103799115644,0.6303571428571428,0.20833333333333334,1.5296340601784841,4.107755283703235,0.26785714285714285,0.16666666666666666,1.6035247462136404,4.6460762888747045,0.23392857142857143,0.21666666666666667,1.6150422096252441,4.68909360682216,0.1982142857142857,0.21666666666666667
6,1.108148115021842,3.093744644131467,0.725,0.20833333333333334,1.4303929499217443,4.0478127843266885,0.3410714285714286,0.21666666666666667,1.5943409545081002,4.603826375206014,0.2714285714285714,0.20833333333333334,1.614955360548837,4.683737511475715,0.19107142857142856,0.21666666666666667
7,1.0453275918960572,2.852555836549047,0.6428571428571429,0.18333333333333332,1.2327163560049874,3.3150248483679747,0.43392857142857144,0.21666666666666667,1.5562375136784146,4.41216316503073,0.2839285714285714,0.16666666666666666,1.6139845541545323,4.681518322397402,0.21964285714285714,0.21666666666666667
8,1.0015429871422903,2.758120563578633,0.6785714285714286,0.175,0.945614881174905,2.119457154658659,0.6821428571428572,0.21666666666666667,1.393814011982509,3.7813795661809007,0.3678571428571429,0.15833333333333333,1.5989203759602137,4.598179344767302,0.22321428571428573,0.16666666666666666
9,0.7601508140563965,2.1295756803707087,0.9517857142857142,0.19166666666666668,0.7296509078570774,1.6794158644806862,0.775,0.225,1.044032267161778,1.8175852876358811,0.5160714285714286,0.2,1.6081855705806187,4.6649970080127,0.22678571428571428,0.21666666666666667
10,0.6452327336583819,1.8312099803157245,0.9482142857142857,0.26666666666666666,0.46354264616966245,0.6346680967360312,0.875,0.20833333333333334,0.9506525124822344,1.8019036520252942,0.5607142857142857,0.20833333333333334,1.6075397968292235,4.656333156845619,0.23035714285714284,0.16666666666666666
